Company Name,Ticker,Next EPS Report Date ,# of Analysts in Q0 Consensus,Avg Volume,Q0 Consensus Est. (last completed fiscal Qtr),Market Cap ,Optionable,Earnings ESP,Zacks Rank
"Federal Realty Investment Trust","FRT","20180213","11","354726.5","1.47","8909.5","YES","0","3"
"Franklin Financial Network, Inc.","FSB","20180124","3","99658.1",".63","481.06","NO","-4.76","2"
"FS Bancorp, Inc.","FSBW","20180125","3","12395.65",".92","207.3","NO","","2"
"ForeScout Technologies, Inc.","FSCT","20180207","4","185745.34","-.33","1277.09","NO","","3"
"FS Investment Corporation","FSIC","20180307","3","2188245.5",".19","1892.08","YES","","3"
"First Solar, Inc.","FSLR","20180220","9","1529530.75","-.32","7666.43","YES","-6.25","2"
"Franklin Street Properties Corp.","FSP","20180213","4","402411.19",".25","1116.27","YES","","3"
"Federal Signal Corporation","FSS","20180227","3","206493.75",".2","1196.08","YES","","4"
"FMC Technologies, Inc.","FTI","20180124","17","2498701.5",".45","16237.4","YES","11.11","3"
"Fortinet, Inc.","FTNT","20180205","14","1380320.63",".29","7815.07","YES","","3"
"Frontier Communications Corporation","FTR","20180226","6","3221716.5","-1.11","651.2","YES","3.6","3"
"Fortive Corporation","FTV","20180208","10","1029844.13",".78","25882.72","YES","","2"
"H. B. Fuller Company","FUL","20180117","5","318851",".84","2697.35","YES","","3"
"Fulton Financial Corporation","FULT","20180122","3","852792.31",".28","3292.29","YES","","2"
"Cedar Fair, L.P.","FUN","20180221","6","94867.7",".21","3627.35","YES","","3"
"Forward Air Corporation","FWRD","20180207","5","174110",".62","1801.8","YES","1.61","1"
"Genpact Limited","G","20180212","9","771364.75",".41","6393.55","YES","","3"
"Gladstone Investment Corporation","GAIN","20180206","3","188352.41",".18","367.22","YES","","3"
"Galectin Therapeutics Inc.","GALT","20180327","3","909196.13","-.11","209.2","YES","","3"
"Garrison Capital Inc.","GARS","20180306","3","44044.45",".27","131.44","YES","","5"
"GATX Corporation","GATX","20180118","5","249389.91",".72","2546.18","YES","8.33","2"
"Glacier Bancorp, Inc.","GBCI","20180125","5","339318.94",".46","3110.14","YES","","2"
"Golub Capital BDC, Inc.","GBDC","20180214","4","247688.66",".32","1076.56","YES","","4"
"Guaranty Bancorp","GBNK","20180124","3","67478.15",".39","846.53","NO","","2"
"Global Blood Therapeutics, Inc.","GBT","20180312","8","1351766.38","-.72","2604","YES","8.33","3"
"Greenbrier Companies, Inc. (The)","GBX","20180404","5","368895",".88","1476.67","YES","0","1"
"Gannett Co., Inc.","GCI","20180208","3","812056.5",".47","1323.34","YES","","3"
"Genesco Inc.","GCO","20180309","5","474669.66","1.02","702.93","YES","1.44","4"
"GCP Applied Technologies Inc.","GCP","20180301","4","338505.09",".23","2435.62","YES","","5"
"General Dynamics Corporation","GD","20180126","9","1091684","2.38","62878.59","YES","","3"
"GoDaddy Inc.","GDDY","20180221","12","1120292.63",".09","8557.23","YES","","3"
"Gardner Denver Holdings, Inc.","GDI","20180124","3","510548.16",".48","6774.14","YES","","2"
"Green Dot Corporation","GDOT","20180228","9","277460",".25","3131.02","YES","","3"
"Goodrich Petroleum Corporation","GDP","20180214","6","35166.5","-.01","130.16","NO","-700","2"
"General Electric Company","GE","20180124","6","65098164",".29","162688.31","YES","","5"
"Greif Bros. Corporation","GEF","20180307","5","177675.34",".89","2949.46","YES","11.76","3"
"Genesis Energy, L.P.","GEL","20180215","4","759191.75",".36","3107.59","YES","","3"
"Gemphire Therapeutics Inc.","GEMP","20180321","4","37151.8","-.72","79.96","NO","","3"
"Geo Group Inc (The)","GEO","20180228","3","726416.06",".5","2816.39","YES","","3"
"Guess?, Inc.","GES","20180321","3","808161.5",".13","1441.44","YES","-1.92","2"
"Goldcorp Inc.","GG","20180214","5","6618772.5",".13","12441.45","YES","15.38","3"
"Graco Inc.","GGG","20180129","8","671995.5",".35","7900.86","YES","0","3"
"General Growth Properties, Inc.","GGP","20180129","7","4583612.5",".47","22186.06","YES","","4"
"Genomic Health, Inc.","GHDX","20180213","8","184606.7",".09","1231.39","YES","","4"
"CGI Group, Inc.","GIB","20180131","5","153577",".75","15412.33","YES","","2"
"G-III Apparel Group, LTD.","GIII","20180326","6","710779.5","1.55","1987.78","YES","12.5","1"
"Gildan Activewear, Inc.","GIL","20180222","6","238361.34",".31","7146.35","YES","","3"
"Gilead Sciences, Inc.","GILD","20180206","10","6991190.5","1.69","103221.38","YES","","3"
"General Mills, Inc.","GIS","20180320","8","3757892.75",".82","32919.2","YES","-1.32","3"
"Glaukos Corporation","GKOS","20180307","5","354017.94","0","979.23","YES","","3"
"Galmed Pharmaceuticals Ltd.","GLMD","20180322","4","90738.2","-.23","140.97","NO","","3"
"Golar LNG Limited","GLNG","20180227","7","1503586.25","-.22","3002.73","YES","-18.18","3"
"Globant S.A.","GLOB","20180215","6","224042.25",".38","1659.53","YES","","5"
"GasLog LP.","GLOG","20180216","7","395588.69",".06","1742.04","YES","-33.33","3"
"GasLog Partners LP","GLOP","20180126","5","115111.05",".53","1009.33","YES","","3"
"Global Partners LP","GLP","20180308","5","78486.55",".2","610.23","YES","75","3"
"Galapagos NV","GLPG","20180223","3","87779.5","-.7","5520.55","YES","","3"
"Glu Mobile Inc.","GLUU","20180214","4","3521012","-.03","516.62","YES","","3"
"Corning Incorporated","GLW","20180130","5","4114718.5",".47","30121.52","YES","0","3"
"GlycoMimetics, Inc.","GLYC","20180307","5","563489.38","-.26","695.34","YES","","3"
"General Motors Company","GM","20180206","7","10116321","1.29","62597.38","YES","","3"
"Gamestop Corporation","GME","20180322","6","2682146.25",".42","1799.16","YES","","3"
"Globus Medical, Inc.","GMED","20180226","7","666171.38",".34","4207.78","YES","5.88","3"
"Golar LNG Partners LP","GMLP","20180227","5","273347.5",".25","1635.12","YES","","4"
"Global Medical REIT Inc.","GMRE","20180326","3","356455.41",".13","176.51","NO","","2"
"GMS Inc.","GMS","20180308","7","317505.5",".54","1575.59","YES","","3"
"GNC Holdings, Inc.","GNC","20180215","4","4168972",".21","256.69","YES","","5"
"Genco Shipping & Trading Limited Warrants Expiring 12/31/2021","GNK","20180307","4","75236.35","-.05","492.43","NO","-100","3"
"GenMark Diagnostics, Inc.","GNMK","20180227","3","451313.44","-.24","252.06","YES","","4"
"Generac Holdlings Inc.","GNRC","20180213","7","363308.41","1.2","3062.82","YES","","3"
"Gener8 Maritime, Inc.","GNRT","20180312","3","839470.5","-.21","526.25","YES","0","5"
"Gentex Corporation","GNTX","20180126","8","1880600.63",".32","6529.77","YES","","2"
"Golden Ocean Group Limited","GOGL","20180214","3","201602.2",".09","1252.83","YES","","3"
"Gogo Inc.","GOGO","20180226","9","775364.5","-.47","898.1","YES","","3"
"Acushnet Holdings Corp.","GOLF","20180329","11","277572.66",".16","1596.83","YES","","1"
"Alphabet Inc.","GOOGL","20180201","14","1226865","10.11","785576.81","YES","-.69","3"
"Canada Goose Holdings Inc.","GOOS","","4","871448.13",".36","3470.39","YES","-11.11","3"
"Government Properties Income Trust","GOV","20180228","5","608782.63",".54","1753.89","YES","","3"
"Genuine Parts Company","GPC","20180220","4","630124.63","1.09","15142.29","YES","4.59","3"
"Group 1 Automotive, Inc.","GPI","20180201","5","217586.8","1.87","1720.24","YES","","3"
"Graphic Packaging Holding Company","GPK","20180206","5","2425729.75",".19","5141.25","YES","","2"
"Global Payments Inc.","GPN","","17","949473.88","1.05","16433","YES","","3"
"Gulfport Energy Corporation","GPOR","20180212","11","3160744",".4","2445.98","YES","25","3"
"Green Plains Partners LP","GPP","20180214","4","69292.15",".47","289.78","NO","-4.26","4"
"Green Plains, Inc.","GPRE","20180214","4","591990.81","-.11","720.33","YES","","5"
"GoPro, Inc.","GPRO","20180201","6","6952276","-.11","909.32","YES","0","4"
"Gap, Inc. (The)","GPS","20180222","14","3542766",".54","13170.59","YES","","3"
"Gramercy Property Trust","GPT","20180227","8","882366.5",".52","4188.64","YES","","4"
"GP Strategies Corporation","GPX","20180227","3","42232.8",".26","443.94","YES","-34.62","1"
"W.R. Grace & Co.","GRA","20180214","4","538486.38",".96","4984.65","YES","","4"
"Garmin Ltd.","GRMN","20180228","9","996497.31",".75","11617.5","YES","","3"
"Groupon, Inc.","GRPN","20180221","10","6223188.5",".09","2853.44","YES","","3"
"GrubHub Inc.","GRUB","20180214","11","1235086.38",".3","6121.53","YES","25","2"
"Goldman Sachs Group, Inc. (The)","GS","20180117","6","2278619.75","4.9","96952.23","YES","0","3"
"Goldman Sachs BDC, Inc.","GSBD","20180227","4","145797.7",".47","888.1","NO","","4"
"GlaxoSmithKline PLC","GSK","20180214","5","4839210.5",".64","92961.53","YES","","2"
"Ferroglobe PLC","GSM","20180315","5","366317.41",".07","2778.62","YES","","1"
"Gastar Exploration Inc.","GST","20180308","4","1409717.38","-.04","291.19","YES","25","3"
"The Goodyear Tire & Rubber Company","GT","20180214","5","2293156.75",".73","8352.95","YES","","3"
"Gran Tierra Energy Inc.","GTE","20180307","3","1480620.75",".06","1153.59","YES","16.67","3"
"G1 THERAPEUTICS","GTHX","20180214","3","153040.05","-.58","653.07","NO","","3"
"Chart Industries, Inc.","GTLS","20180222","6","247123.91",".32","1686.87","YES","","3"
"Gray Television, Inc.","GTN","20180307","3","1104362",".25","1513.99","YES","-4","3"
"GTT Communications, Inc.","GTT","20180314","4","278438.66","-.13","1894.64","YES","","3"
"Getty Realty Corporation","GTY","20180307","3","164205.59",".45","1011.64","YES","","3"
"Granite Construction Incorporated","GVA","20180216","3","200227.2",".66","2675.99","YES","","2"
"Great Western Bancorp, Inc.","GWB","20180125","6","244793.41",".63","2531.35","YES","-3.17","3"
"GW Pharmaceuticals PLC","GWPH","20180206","5","333932.91","-2.05","3664.81","YES","-.49","4"
"Genesee & Wyoming, Inc.","GWR","20180214","7","265493.41",".75","5185.98","YES","1.33","3"
"Guidewire Software, Inc.","GWRE","20180301","7","423158.81","-.15","5829.25","YES","","4"
"W.W. Grainger, Inc.","GWW","20180124","10","636979.81","2.18","13429.18","YES","","3"
"Great Plains Energy Inc","GXP","20180222","3","1231404.5",".12","6541.03","YES","","4"
"Hyatt Hotels Corporation","H","20180215","10","643436.19",".19","9384.38","YES","10.53","1"
"Hawaiian Holdings, Inc.","HA","20180123","7","885926.31","1.11","2033.29","YES","-1.8","3"
"The Habit Restaurants, Inc.","HABT","20180301","6","448195.44","-.01","230.31","YES","","3"
"Haemonetics Corporation","HAE","20180206","5","356875.59",".44","3386.69","YES","2.27","3"
"Hanmi Financial Corporation","HAFC","20180123","4","157016.25",".47","1035.47","YES","","2"
"The Hain Celestial Group, Inc.","HAIN","20180206","6","1093069",".43","4090.44","YES","-2.33","4"
"Halliburton Company","HAL","20180122","13","7182468",".46","46366.83","YES","2.17","3"
"Halozyme Therapeutics, Inc.","HALO","20180227","5","972244.31",".6","2898.39","YES","-5","3"
"Hasbro, Inc.","HAS","20180205","7","1125030.13","1.85","11515.2","YES",".54","4"
"Hannon Armstrong Sustainable Infrastructure Capital, Inc.","HASI","20180222","6","321714",".31","1191.35","YES","","3"
"Blackhawk Network Holdings, Inc.","HAWK","20180221","8","798354.5","1.28","2073.67","YES","","2"
"Huntington Bancshares Incorporated","HBAN","20180123","11","8779683",".26","17133","YES","0","2"
"Hancock Holding Company","HBHC","20180117","6","504236.34",".82","4578.48","YES","","2"
"Hanesbrands Inc.","HBI","20180201","8","4920879",".52","8173.97","YES","1.92","4"
"Horizon Bancorp (IN)","HBNC","20180124","3","100618.75",".44","721.65","YES","","2"
"HCA Holdings, Inc.","HCA","20180130","12","1909434.75","1.87","31439.91","YES","-1.07","3"
"Warrior Met Coal Inc.","HCC","20180208","3","784774.13",".79","1508.25","YES","-1.27","3"
"Heritage-Crystal Clean, Inc.","HCCI","20180307","5","89677.4",".21","550.26","YES","","2"
"The Hackett Group, Inc.","HCKT","20180220","5","73863.75",".26","454.77","YES","","4"
"Hi-Crush Partners LP","HCLP","20180220","6","1464917.25",".5","1160.65","YES","","3"
"Welltower Inc.","HCN","20180228","11","1955663.63","1.05","21910.32","YES","0","4"
"HCP, Inc.","HCP","20180212","10","3677157.25",".47","11089.71","YES","-2.13","4"
"Healthcare Services Group, Inc.","HCSG","20180206","4","436727.5",".33","3804.33","YES","","3"
"Home Depot, Inc. (The)","HD","20180220","14","4000588.5","1.82","229369.27","YES","9.26","3"
"Hortonworks, Inc.","HDP","20180208","3","461702.66","-.23","1505.15","YES","","3"
"HD Supply Holdings, Inc.","HDS","20180313","9","2001950",".75","7284.15","YES","0","3"
"Hudson Technologies, Inc.","HDSN","20180307","3","445083.56","-.09","267.79","YES","","3"
"Hawaiian Electric Industries, Inc.","HE","20180213","3","431869.19",".41","3743.33","YES","-2.44","3"
"H&E Equipment Services, Inc.","HEES","20180222","3","257645.91",".41","1455.15","YES","0","1"
"Heico Corporation","HEI","20180227","5","290897.25",".57","8200.58","YES","0","3"
"Hess Corporation","HES","20180124","8","3793953.5","-1.02","17330.3","YES","11.76","3"
"Hess Midstream Partners LP","HESM","20180125","4","107891.6",".28","582.43","YES","","2"
"HollyFrontier Corporation","HFC","20180228","7","1759721.25",".93","9308.6","YES","-12.9","3"
"Heritage Financial Corporation","HFWA","20180125","4","117362.15",".36","951.74","YES","","1"
"Hilton Grand Vacations Inc.","HGV","20180307","3","427332.41",".51","4156.78","YES","","3"
"Hibbett Sports, Inc.","HIBB","20180309","8","785506.56",".21","501.18","YES","20.69","1"
"Hartford Financial Services Group, Inc. (The)","HIG","20180208","7","1803011.63",".71","19722.99","YES","-1.41","5"
"Huntington Ingalls Industries, Inc.","HII","20180215","4","847172.13","2.91","11198.93","YES","","2"
"Health Insurance Innovations, Inc.","HIIQ","20180307","4","383220.75",".34","420.14","YES","","4"
"Himax Technologies, Inc.","HIMX","20180215","3","3684556.5",".15","1841.51","YES","","3"
"Aerohive Networks, Inc.","HIVE","20180213","3","440682","0","315.7","YES","","3"
"Highwoods Properties, Inc.","HIW","20180206","9","540245.75",".83","4920.85","YES","","3"
"Halcon Resources Corporation","HK","20180227","5","2312874.25","-.03","1277.55","YES","0","3"
"Hecla Mining Company","HL","20180222","3","4175891.25",".02","1759.67","YES","","3"
"Harmonic Inc.","HLIT","20180227","4","477224.66",".01","326.48","YES","","3"
"Hamilton Lane Inc.","HLNE","","3","112625.5",".28","1745.69","YES","10.71","1"
"Hilton Worldwide Holdings Inc.","HLT","20180221","9","1642303.75",".44","26859.88","YES","","2"
"Helix Energy Solutions Group, Inc.","HLX","20180219","5","1222715.75","-.01","1282.21","YES","","3"
"Houghton Mifflin Harcourt Company","HMHC","20180222","4","645534.38","-.91","1128.5","YES","","4"
"Hoegh LNG Partners LP","HMLP","20180227","4","93631.6",".35","378.5","NO","","3"
"HomeStreet, Inc.","HMST","20180122","3","182687.84",".42","869.7","YES","9.52","1"
"HMS Holdings Corp","HMSY","20180223","7","447174.75",".22","1499.22","YES","","3"
"Harley-Davidson, Inc.","HOG","20180130","11","1933373.25",".48","9156.93","YES","10.42","3"
"Hologic, Inc.","HOLX","20180208","10","1908934.63",".49","12050.15","YES","0","3"
"Home BancShares, Inc.","HOMB","20180118","3","1284582.75",".34","4342.84","YES","","2"
"At Home Group Inc.","HOME","20180327","5","320431.75",".05","1982.41","YES","","2"
"Honeywell International Inc.","HON","20180126","9","2820488.5","1.84","120385.77","YES","0","3"
"Hope Bancorp, Inc.","HOPE","20180130","5","419023.66",".31","2581.24","YES","","2"
"Hornbeck Offshore Services","HOS","20180221","3","410120.19","-.73","142.64","YES","-2.74","4"
"Helmerich & Payne, Inc.","HP","20180125","9","1642499.25","-.14","7630.66","YES","14.29","3"
"Hewlett Packard Enterprise Company","HPE","20180222","8","8291210.5",".28","25199.34","YES","","4"
"Hudson Pacific Properties, Inc.","HPP","20180215","6","596960.94",".5","5129.73","YES","0","3"
"HP Inc.","HPQ","20180228","4","6971424",".44","37708.63","YES","","3"
"Hospitality Properties Trust","HPT","20180307","6","516106.25",".54","4795.7","YES","-14.81","3"
"HealthEquity, Inc.","HQY","20180320","10","490697.31",".12","2968.12","YES","0","3"
"Healthcare Realty Trust Incorporated","HR","20180221","6","661507.56",".39","3721.72","YES","2.56","3"
"H&R Block, Inc.","HRB","20180306","4","2080069.25","-.73","5511.06","YES","","4"
"Hill-Rom Holdings Inc","HRC","20180126","6","359445.69",".8","5712.6","YES","0","3"
"Herc Holdings Inc.","HRI","20180307","3","168191.75",".34","1861.71","YES","-50","3"
"Hormel Foods Corporation","HRL","20180222","6","2033040",".4","18297.16","YES","","3"
"Harris Corporation","HRS","20180201","5","592044.63","1.4","17547.58","YES","","3"
"Heron Therapeutics, Inc.","HRTX","20180222","7","1015996.5","-.8","1382.44","YES","-1.25","3"
"Horizon Technology Finance Corporation","HRZN","20180306","3","66433.15",".26","132.69","YES","","3"
"Henry Schein, Inc.","HSIC","20180220","11","1163584.13",".97","11746.44","YES","","3"
"Heidrick & Struggles International, Inc.","HSII","20180226","4","136556.2",".31","485.62","YES","9.68","1"
"Host Hotels & Resorts, Inc.","HST","20180228","10","5517398.5",".39","15068.19","YES","","4"
"HealthStream, Inc.","HSTM","20180220","6","102902.8",".03","774.12","YES","","4"
"Hershey Company (The)","HSY","20180202","5","720683.38","1.06","23019.69","YES","","3"
"Hersha Hospitality Trust","HT","20180228","9","604645.88",".43","745.24","YES","","4"
"Healthcare Trust of America, Inc.","HTA","20180221","9","1082419.75",".42","5591.34","YES","","3"
"Hercules Capital, Inc.","HTGC","20180222","6","388852.25",".29","1094.12","YES","-3.45","2"
"Hilltop Holdings Inc.","HTH","20180125","3","426166.94",".42","2534.9","YES","-2.38","2"
"Heartland Express, Inc.","HTLD","20180125","6","387107.41",".1","1924.3","YES","0","3"
"Heartland Financial USA, Inc.","HTLF","20180129","4","206413.7",".81","1647.19","YES","-1.23","2"
"Hertz Global Holdings, Inc","HTZ","20180226","4","1990385.63","-.58","2059.56","YES","","4"
